branch	state	ahead	last_commit	adds_files	has_prereg	has_result
probe/P-PENTAGON-ONLY-DILATIONS-1	MERGED	0	-	0	0	0
probe/P-PENTAGON-WEIL-1	MERGED	0	-	0	0	0
probe/P-PHOTON-KAPPA-LEMMA-1	MERGED	0	-	0	0	0
probe/P-PISTON-RELATIONAL-WEDGE-1	MERGED	0	-	0	0	0
probe/P-PURE-QUBIT-RELATIONAL-GEOMETRY-1	MERGED	0	-	0	0	0
probe/P-PURE-QUBIT-RELATIONAL-GEOMETRY-2	MERGED	0	-	0	0	0
probe/P-QDD-AFFINE-PURE-RECORD-BRIDGE-1	MERGED	0	-	0	0	0
probe/P-QDD-COMMUTATOR-READOUT-FORK-1	DIVERGENT	1	2026-08-21	2	1	0
probe/P-QDD-COMMUTATOR-READOUT-FORK-2	MERGED	0	-	0	0	0
probe/P-QDD-COMMUTATOR-SATURATION-CLOSURE-1	MERGED	0	-	0	0	0
probe/P-QDD-DETERMINISTIC-EVENT-SAMPLER-1	MERGED	0	-	0	0	0
probe/P-QDD-EVENT-CARRY-BANK-1	MERGED	0	-	0	0	0
probe/P-QDD-FRESH-RECORD-NOFEEDBACK-1	DIVERGENT	1	2026-08-20	2	1	0
probe/P-QDD-FRESH-RECORD-NOFEEDBACK-2	MERGED	0	-	0	0	0
probe/P-QDD-IDEMPOTENCE-DOMINATES-FORK-1	DIVERGENT	1	2026-08-21	4	1	0
probe/P-QDD-IDEMPOTENCE-DOMINATES-FORK-2	DIVERGENT	1	2026-08-21	7	1	0
probe/P-QDD-IDEMPOTENCE-DOMINATES-FORK-3	MERGED	0	-	0	0	0
probe/P-QDD-INSTRUMENT-CLASS-COMPLETENESS-1	MERGED	0	-	0	0	0
probe/P-QDD-INSTRUMENT-NONSELECTION-1	MERGED	0	-	0	0	0
probe/P-QDD-INSTRUMENT-U-INDUCED-1	MERGED	0	-	0	0	0
probe/P-QDD-INSTRUMENT-U-INDUCED-2	DIVERGENT	1	2026-08-17	1	1	0
probe/P-QDD-J-AFFINE-APPARATUS-1	MERGED	0	-	0	0	0
probe/P-QDD-J-CENTRALIZER-TERMINALITY-1	MERGED	0	-	0	0	0
probe/P-QDD-PURE-RECORD-PORT-CANONICAL-1	MERGED	0	-	0	0	0
probe/P-QDD-PURE-RECORD-TYPED-BRIDGE-1	MERGED	0	-	0	0	0
probe/P-QDD-RECORD-COMPLETE-STABILIZER-1	MERGED	0	-	0	0	0
probe/P-QDD-RECORD-MONOID-DESCENT-1	DIVERGENT	1	2026-08-21	2	1	0
probe/P-QDD-RECORD-MONOID-DESCENT-2	MERGED	0	-	0	0	0
probe/P-QDD-RECORD-NATURALITY-FORK-1	MERGED	0	-	0	0	0
probe/P-QPAIR-C4-2I-MINIMALITY-1	MERGED	0	-	0	0	0
probe/P-QPAIR-RELATIONAL-AREA-1	MERGED	0	-	0	0	0
probe/P-QPAIR-SYM2-TENSOR-DEFECT-1	MERGED	0	-	0	0	0
probe/P-QUARTIC-CYCLOTOMIC-TOTAL-RAMIFICATION-CENSUS-1	MERGED	0	-	0	0	0
probe/P-R2-K-JUNCTION-PIN-1	MERGED	0	-	0	0	0
probe/P-R2-LAMBDA-HAAR-1	MERGED	0	-	0	0	0
probe/P-R2-SCALING-SHIFT-1	MERGED	0	-	0	0	0
probe/P-RAMIFIED-TM-LIFT-1	MERGED	0	-	0	0	0
probe/P-READ-REDUNDANCY-1	MERGED	0	-	0	0	0
probe/P-RECORD-QUOTIENT-CALCULUS-1	MERGED	0	-	0	0	0
probe/P-SPIN-LIFT-FORCED-1	MERGED	0	-	0	0	0
probe/P-SPLIT-PRIME-INDEPENDENCE-1	MERGED	0	-	0	0	0
probe/P-SPLIT-RAPIDITY-QUANTITATIVE-SEPARATION-1	MERGED	0	-	0	0	0
probe/P-SQRT-PHI-DIGIT-1	MERGED	0	-	0	0	0
probe/P-SUZUKI-LOCAL-CAPACITY-NOGO-1	MERGED	0	-	0	0	0
probe/P-TM-HANKEL-K3-TRANSFER-1	MERGED	0	-	0	0	0
probe/P-TM-MULTIPLICATION-CARRY-DEFECT-1	MERGED	0	-	0	0	0
probe/P-TM-SHEET-SYNCHRONIZING-GRAPH-1	MERGED	0	-	0	0	0
probe/P-TM-SYM2-BORN-HALVING-1	MERGED	0	-	0	0	0
probe/P-TM-SYM2-FRAME-1	MERGED	0	-	0	0	0
probe/P-TM-SYM2-MEASURE-1	MERGED	0	-	0	0	0
probe/P-TM-SYM2-REVERSAL-CLOSURE-1	MERGED	0	-	0	0	0
probe/P-TM-SYM2-SEMILINEAR-GAUGE-1	MERGED	0	-	0	0	0
probe/P-TM-SYM2-SPECTRAL-COHERENCE-1	MERGED	0	-	0	0	0
probe/P-TRACEKERNEL-EXTERIOR-CLOSURE-1	MERGED	0	-	0	0	0
probe/P-TT-VECTOR-MOMENT-UNDERDETERMINATION-1	MERGED	0	-	0	0	0
probe/P-TWOLOGPHI-INVARIANTS-1	MERGED	0	-	0	0	0
release/canon-v28	DIVERGENT	2	2026-07-30	18	0	0
release/canon-v29	DIVERGENT	2	2026-07-31	14	0	0
release/canon-v53	DIVERGENT	2	2026-08-19	19	0	0
release/canon-v56	DIVERGENT	2	2026-08-20	17	0	0
